port,state,time
7,closed,20/05/2022 19:29:22
20,closed,20/05/2022 19:29:23
21,closed,20/05/2022 19:29:23
22,closed,20/05/2022 19:29:24
23,closed,20/05/2022 19:29:24
25,closed,20/05/2022 19:29:25
53,closed,20/05/2022 19:29:25
69,closed,20/05/2022 19:29:26
80,closed,20/05/2022 19:29:27
88,closed,20/05/2022 19:29:27
102,closed,20/05/2022 19:29:28
110,closed,20/05/2022 19:29:28
135,open,20/05/2022 19:29:35
137,filtered,20/05/2022 19:29:38
139,closed,20/05/2022 19:29:38
143,closed,20/05/2022 19:29:39
381,closed,20/05/2022 19:29:39
383,closed,20/05/2022 19:29:40
443,closed,20/05/2022 19:29:41
464,closed,20/05/2022 19:29:41
465,closed,20/05/2022 19:29:42
587,closed,20/05/2022 19:29:42
593,closed,20/05/2022 19:29:43
636,closed,20/05/2022 19:29:43
691,closed,20/05/2022 19:29:44
902,closed,20/05/2022 19:29:45
989,closed,20/05/2022 19:29:45
990,closed,20/05/2022 19:29:46
993,closed,20/05/2022 19:29:46
995,closed,20/05/2022 19:29:47
1025,closed,20/05/2022 19:29:48
1194,closed,20/05/2022 19:29:48
1337,closed,20/05/2022 19:29:49
1589,closed,20/05/2022 19:29:49
1725,closed,20/05/2022 19:29:50
2082,closed,20/05/2022 19:29:50
2083,closed,20/05/2022 19:29:51
2483,closed,20/05/2022 19:29:52
2484,closed,20/05/2022 19:29:52
2967,closed,20/05/2022 19:29:53
3074,closed,20/05/2022 19:29:53
3306,closed,20/05/2022 19:29:54
3724,closed,20/05/2022 19:29:54
4664,closed,20/05/2022 19:29:55
5432,closed,20/05/2022 19:29:56
5900,closed,20/05/2022 19:29:56
6665,closed,20/05/2022 19:29:57
6999,closed,20/05/2022 19:29:57
6970,closed,20/05/2022 19:29:58
8086,closed,20/05/2022 19:29:58
8087,closed,20/05/2022 19:29:59
8222,closed,20/05/2022 19:30:00
9100,closed,20/05/2022 19:30:00
10000,closed,20/05/2022 19:30:01
12345,closed,20/05/2022 19:30:01
27374,closed,20/05/2022 19:30:02
18006,closed,20/05/2022 19:30:03
port,state,time
7,closed,20/05/2022 19:30:08
20,closed,20/05/2022 19:30:09
21,closed,20/05/2022 19:30:09
22,closed,20/05/2022 19:30:10
23,closed,20/05/2022 19:30:10
25,closed,20/05/2022 19:30:11
53,closed,20/05/2022 19:30:12
69,closed,20/05/2022 19:30:12
80,closed,20/05/2022 19:30:13
88,closed,20/05/2022 19:30:13
102,closed,20/05/2022 19:30:14
110,closed,20/05/2022 19:30:15
135,open,20/05/2022 19:30:21
137,filtered,20/05/2022 19:30:24
139,closed,20/05/2022 19:30:24
143,closed,20/05/2022 19:30:25
381,closed,20/05/2022 19:30:25
383,closed,20/05/2022 19:30:26
443,closed,20/05/2022 19:30:27
464,closed,20/05/2022 19:30:27
465,closed,20/05/2022 19:30:28
587,closed,20/05/2022 19:30:28
593,closed,20/05/2022 19:30:29
636,closed,20/05/2022 19:30:29
691,closed,20/05/2022 19:30:30
902,closed,20/05/2022 19:30:31
989,closed,20/05/2022 19:30:31
990,closed,20/05/2022 19:30:32
993,closed,20/05/2022 19:30:32
995,closed,20/05/2022 19:30:33
1025,closed,20/05/2022 19:30:34
1194,closed,20/05/2022 19:30:34
1337,closed,20/05/2022 19:30:35
1589,closed,20/05/2022 19:30:35
1725,closed,20/05/2022 19:30:36
2082,closed,20/05/2022 19:30:36
2083,closed,20/05/2022 19:30:37
2483,closed,20/05/2022 19:30:38
2484,closed,20/05/2022 19:30:38
2967,closed,20/05/2022 19:30:39
3074,closed,20/05/2022 19:30:39
3306,closed,20/05/2022 19:30:40
3724,closed,20/05/2022 19:30:40
4664,closed,20/05/2022 19:30:41
5432,closed,20/05/2022 19:30:42
5900,closed,20/05/2022 19:30:42
6665,closed,20/05/2022 19:30:43
6999,closed,20/05/2022 19:30:43
6970,closed,20/05/2022 19:30:44
8086,closed,20/05/2022 19:30:45
8087,closed,20/05/2022 19:30:45
8222,closed,20/05/2022 19:30:46
9100,closed,20/05/2022 19:30:46
10000,closed,20/05/2022 19:30:47
12345,closed,20/05/2022 19:30:47
27374,closed,20/05/2022 19:30:48
18006,closed,20/05/2022 19:30:49
port,state,time
7,closed,20/05/2022 19:30:54
20,closed,20/05/2022 19:30:55
21,closed,20/05/2022 19:30:56
22,closed,20/05/2022 19:30:56
23,closed,20/05/2022 19:30:57
25,closed,20/05/2022 19:30:57
53,closed,20/05/2022 19:30:58
69,closed,20/05/2022 19:30:59
80,closed,20/05/2022 19:30:59
88,closed,20/05/2022 19:31:00
102,closed,20/05/2022 19:31:00
110,closed,20/05/2022 19:31:01
